EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
1	1349532517	compute	c0-11c2s3n1	8	4	-1	NB Array Error	10980	0	8	0	1	0	1	0	1	0	1	0	1	2012-10-06 09:08:37	40
2	1349532628	compute	c0-11c2s3n1	8	4	-1	NB Array Error	10980	0	8	0	1	0	1	0	1	0	1	0	0	2012-10-06 09:10:28	40
3	1349532631	compute	c0-11c2s3n1	8	4	-1	NB Array Error	13ffd0980	0	8	0	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:31	40
4	1349532631	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7b8930980	0	8	110	0	0	1	0	1	0	1	0	1	2012-10-06 09:10:31	40
5	1349532631	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7e2452980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-06 09:10:31	40
6	1349532631	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7e7350980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-06 09:10:31	40
7	1349532631	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7e7350990	0	8	0	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:31	40
8	1349532632	compute	c0-11c2s3n1	8	4	-1	NB Array Error	101dfd2980	0	8	100	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:32	40
9	1349532632	compute	c0-11c2s3n1	8	4	-1	NB Array Error	13980	0	8	0	1	0	1	0	1	0	1	0	0	2012-10-06 09:10:32	40
10	1349532632	compute	c0-11c2s3n1	8	4	-1	NB Array Error	b980	0	8	0	1	0	1	0	1	0	1	0	0	2012-10-06 09:10:32	40
11	1349532633	compute	c0-11c2s3n1	8	4	-1	NB Array Error	101dfd2980	0	8	100	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:33	40
12	1349532633	compute	c0-11c2s3n1	8	4	-1	NB Array Error	81b5ce980	0	8	0	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:33	40
13	1349532633	compute	c0-11c2s3n1	8	4	-1	NB Array Error	81f74d980	0	8	1010	0	0	1	0	1	0	1	0	0	2012-10-06 09:10:33	40
14	1349533751	service	c1-3c2s7n1	16	4	-1	Table Walk Data Error	1eac0	1	20	0	0	1	0	0	1	0	1	0	1	2012-10-06 09:29:11	40
15	1349533754	service	c1-3c2s7n1	16	4	-1	Table Walk Data Error	1eac0	1	20	0	0	1	0	0	1	0	1	0	1	2012-10-06 09:29:14	40
16	1349533755	service	c1-3c2s7n1	16	4	-1	Table Walk Data Error	1eac0	1	20	0	0	1	0	0	1	0	1	0	1	2012-10-06 09:29:15	40
17	1349533756	service	c1-3c2s7n1	16	4	-1	Table Walk Data Error	1eac0	1	20	0	0	1	0	0	1	0	1	0	1	2012-10-06 09:29:16	40
18	1349534656	compute	c21-7c0s2n3	24	4	 Chipkill ECC syndrome = 8fd	ECC Error	dc645d0b0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-06 09:44:16	40
19	1349534673	compute	c8-10c2s4n1	24	4	 Chipkill ECC syndrome = ce08	ECC Error	fbe8d4780	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-06 09:44:33	40
20	1349534714	compute	c2-9c1s4n2	0	4	 Chipkill ECC syndrome = 20ce	ECC Error	3f7697570	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-06 09:45:14	40
21	1349534789	compute	c2-9c1s4n2	0	4	 Chipkill ECC syndrome = 20ce	ECC Error	3f7d0cf70	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-06 09:46:29	40
22	1349534827	compute	c2-9c1s4n2	0	4	 Chipkill ECC syndrome = 20ce	ECC Error	3f7f06230	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-06 09:47:07	40
