EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
5112	1349745302	compute	c9-0c2s5n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	27a79eb30	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:15:02	41
5113	1349745527	compute	c9-0c2s5n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	27a79eb30	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:18:47	41
5114	1349745602	compute	c9-0c2s5n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	27a79eb30	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:20:02	41
5115	1349745639	compute	c15-8c2s3n0	24	4	 Chipkill ECC syndrome = 189	ECC Error	e159f0ac0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:20:39	41
5116	1349745676	compute	c11-2c0s1n0	8	4	 Chipkill ECC syndrome = 8ce	ECC Error	429becf40	0	8	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:21:16	41
5117	1349745763	compute	c11-8c2s6n0	8	4	 Chipkill ECC syndrome = 204	ECC Error	4baf80000	0	8	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:22:43	41
5118	1349745770	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 15c	ECC Error	dc53719d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:22:50	41
5119	1349746089	compute	c15-8c2s3n0	24	4	 Chipkill ECC syndrome = 263	ECC Error	e159f37c0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:28:09	41
5120	1349746164	compute	c9-0c2s5n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	27a79eb30	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:29:24	41
5121	1349746213	compute	c11-8c2s6n0	8	4	 Chipkill ECC syndrome = 2040	ECC Error	4baf80020	0	8	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:30:13	41
5122	1349746220	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:30:20	41
